ID,Price,Security_deposit,Cleaning_fee,Extra_people_price,accommodates,review_accuracy,review_cleanliness,review_checkin,review_communication,review_location,review_value,reviews_per_month,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,bed_type,amentities_2,allston.nhbr,back_bay.nhbr,beacon_hill.nhbr,brighton.nhbr,dorchester.nhbr,downtown.nhbr,east_boston.nhbr,fenway.nhbr,jamica_plain.nhbr,south_boston.nhbr,south_end.nhbr,nhbr.others,cancellation_strict,cancellation_moderate,cancellation_flexible,instant_bookable
3353,$40.00 ,$100.00 ,$50.00 ,$0.00 ,1,9,8,9,9,9,9,0.38,42.35501678,-71.12759006,Apartment,Private room,1,1,1,Real Bed,"['Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Buzzer/Wireless Intercom', 'Heating', 'Washer', 'Dryer', 'Smoke Detector', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8792,$154.00 ,"$1,000.00 ",$250.00 ,$0.00 ,3,10,9,10,9,10,10,0.21,42.35849698,-71.06201144,Apartment,Entire home/apt,1,1,1,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Doorman', 'Elevator in Building', 'Heating']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10730,$150.00 ,"$1,000.00 ",$250.00 ,$0.00 ,3,10,9,10,10,10,9,0.25,42.35840349,-71.06185033,Apartment,Entire home/apt,1,1,1,Real Bed,"['TV', 'Cable TV', 'Internet', 'Air Conditioning', 'Kitchen', 'Elevator in Building', 'Heating']",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
12356,$200.00 ,"$1,000.00 ",$250.00 ,$0.00 ,3,10,10,10,10,10,10,0.42,42.35898849,-71.06324696,Condominium,Entire home/apt,1,1,1,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Doorman', 'Elevator in Building', 'Heating', 'Washer', 'Dryer', 'Smoke Detector', 'Carbon Monoxide Detector', 'Essentials', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
18711,$126.00 ,$500.00 ,$175.00 ,$10.00 ,6,9,9,9,9,9,9,0.22,42.32328571,-71.06210287,Apartment,Entire home/apt,1,3,3,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Free Parking on Premises', 'Buzzer/Wireless Intercom', 'Heating', 'Family/Kid Friendly', 'Smoke Detector', 'Fire Extinguisher', 'Essentials']",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
27611,$185.00 ,$200.00 ,$50.00 ,$0.00 ,2,9,10,10,10,10,9,0.29,42.31556512,-71.11482701,Apartment,Entire home/apt,1,1,1,Real Bed,"['Wireless Internet', 'Kitchen', 'Heating', 'Smoke Detector', 'Carbon Monoxide Detector', 'First Aid Kit', 'Safety Card', 'Fire Extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair Dryer', 'Iron', 'Laptop Friendly Workspace']",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
31796,$65.00 ,$100.00 ,$15.00 ,$15.00 ,4,9,9,9,9,8,9,3.83,42.29977341,-71.06047581,House,Private room,2.5,1,2,Real Bed,"['Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Free Parking on Premises', 'Heating', 'Family/Kid Friendly', 'Washer', 'Dryer', 'Smoke Detector', 'Carbon Monoxide Detector', 'First Aid Kit', 'Essentials', 'Shampoo', 'translation missing: en.hosting_amenity_50']",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
39116,$99.00 ,$100.00 ,$25.00 ,$25.00 ,2,10,10,10,10,10,10,0.62,42.34238757,-71.09725114,Apartment,Private room,1,1,1,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Breakfast', 'Pets live on this property', 'Dog(s)', 'Elevator in Building', 'Heating', 'Washer', 'Dryer', 'Smoke Detector', 'Carbon Monoxide Detector', 'Essentials', 'Hangers', 'Hair Dryer', 'Iron', 'Laptop Friendly Workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
47521,$55.00 ,$100.00 ,$15.00 ,$15.00 ,3,9,9,9,9,8,9,3.3,42.29771972,-71.05924046,House,Private room,2.5,1,3,Real Bed,"['Cable TV', 'Internet', 'Wireless Internet', 'Kitchen', 'Heating', 'Family/Kid Friendly', 'Washer', 'Dryer', 'Smoke Detector', 'Carbon Monoxide Detector', 'First Aid Kit', 'Essentials', 'Shampoo', 'Lock on Bedroom Door']",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
48612,$375.00 ,$300.00 ,$35.00 ,$20.00 ,5,10,9,10,10,10,9,0.35,42.34563654,-71.08067154,Apartment,Entire home/apt,1,2,2,Real Bed,"['TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Breakfast', 'Buzzer/Wireless Intercom', 'Heating', 'Family/Kid Friendly', 'Washer', 'Dryer', 'Smoke Detector', 'Carbon Monoxide Detector', 'First Aid Kit', 'Fire Extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair Dryer', 'Laptop Friendly Workspace']",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
