id,name,latitude,longitude,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,extra_people,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month
3075044,Charming room in pet friendly apt,42.28624082,-71.13437396,42.28624082,-71.13437396,Apartment,Private room,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron}",$65.00 ,$95.00 ,$10.00 ,$0.00 ,10,9,10,10,9,9,t,moderate,1.3
1436513,Spacious Sunny Bedroom Suite in Historic Home,42.28110619,-71.12102117,42.28110619,-71.12102117,House,Private room,4,1,1,2,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Gym,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$75.00 ,$100.00 ,$50.00 ,$25.00 ,10,10,10,10,10,10,f,moderate,1
849408,Perfect & Practical Boston Rental,42.28882028,-71.1395101,42.28882028,-71.1395101,Apartment,Entire home/apt,5,1,2,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$229.00 ,$200.00 ,$50.00 ,$25.00 ,10,9,10,10,9,9,f,strict,1.01
5434353,Quiet  Beauty in Boston,42.28626474,-71.13706513,42.28626474,-71.13706513,House,Entire home/apt,2,1.5,2,2,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",$145.00 ,$500.00 ,$150.00 ,$35.00 ,9,9,10,9,9,9,f,moderate,0.56
13251243,Arborside Guest Cottage,42.29403534,-71.13223725,42.29403534,-71.13223725,House,Entire home/apt,3,1,0,2,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$120.00 ,$150.00 ,$50.00 ,$0.00 ,10,10,10,10,10,10,t,moderate,5.93
6400432,Spacious 3 bedroom cape cod style,42.27838291,-71.1287801,42.27838291,-71.1287801,House,Entire home/apt,8,1,3,5,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Shampoo}",$150.00 ,$150.00 ,$100.00 ,$0.00 ,9,9,9,10,9,10,f,flexible,1.58
5498472,"4BD/3.5BA, Perfect for families!",42.27683095,-71.12955974,42.27683095,-71.12955974,House,Entire home/apt,5,3.5,4,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",$175.00 ,$500.00 ,$100.00 ,$0.00 ,10,10,10,10,10,10,f,moderate,0.07
7093109,Adorable  Apt. 20 min from Downtown,42.27696862,-71.11775586,42.27696862,-71.11775586,Apartment,Entire home/apt,6,1,2,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",$200.00 ,$200.00 ,$85.00 ,$20.00 ,10,10,10,10,9,10,t,strict,0.38
10116095,Comfortable & Clean - Boston,42.28960322,-71.13336749,42.28960322,-71.13336749,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",$115.00 ,$200.00 ,$35.00 ,$0.00 ,NA,NA,NA,NA,NA,NA,f,strict,NA
8548176,Charming 3 bedroom-15 min to Boston,42.2791761,-71.1327718,42.2791761,-71.1327718,House,Entire home/apt,16,1,3,5,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$125.00 ,$250.00 ,$50.00 ,$25.00 ,10,10,10,10,9,9,f,strict,2.07
